n_cities,algorithm,tour,cost,time_sec,working_states,space_label,gap_to_opt,gap_percent,tour_string,valid_fraction,compressed_dimension,compressed_valid_routes,compressed_qubits,compressed_unused_states,old_binary_qubits,old_binary_dimension,qaoa_energy,log_time,log_working_states,valid_penalty
7,Greedy,"[0, 4, 1, 6, 5, 2, 3, 0]",248.7497883126661,1.1100000847363845e-05,21.0,candidate edge checks,2.842170943040401e-14,1.1425822559768106e-14,0 -> 4 -> 1 -> 6 -> 5 -> 2 -> 3 -> 0,1.0,,,,,,,,-4.954676988059701,1.3222192947339193,0.0
7,Random initialized,"[0, 4, 2, 3, 5, 1, 6, 0]",351.4249100893227,3.3799999073380604e-05,1.0,sampled tour,102.6751217766566,41.27646599144,0 -> 4 -> 2 -> 3 -> 5 -> 1 -> 6 -> 0,1.0,,,,,,,,-4.471083311628431,0.0,0.0
7,2-opt from greedy,"[0, 4, 1, 6, 5, 2, 3, 0]",248.7497883126661,3.590000051190145e-05,15.0,2-opt moves/pass,2.842170943040401e-14,1.1425822559768106e-14,0 -> 4 -> 1 -> 6 -> 5 -> 2 -> 3 -> 0,1.0,,,,,,,,-4.444905545229036,1.1760912590556813,0.0
7,Held-Karp,"[0, 3, 2, 5, 6, 1, 4, 0]",248.74978831266608,0.00031179999859887175,384.0,DP states,0.0,0.0,0 -> 3 -> 2 -> 5 -> 6 -> 1 -> 4 -> 0,1.0,,,,,,,,-3.5061238910987558,2.584331224367531,0.0
7,QAOA with greedy,"[0, 4, 1, 6, 5, 2, 3, 0]",248.7497883126661,0.088420899999619,256.0,compressed basis states,2.842170943040401e-14,1.1425822559768106e-14,0 -> 4 -> 1 -> 6 -> 5 -> 2 -> 3 -> 0,1.0,256.0,198.0,8.0,58.0,36.0,68719476736.0,265.16313017412756,-1.053445068904483,2.4082399653118496,0.0
8,Greedy,"[0, 4, 1, 6, 5, 7, 2, 3, 0]",253.27750067749184,7.199996616691351e-06,28.0,candidate edge checks,2.842170943040401e-14,1.1221568972521758e-14,0 -> 4 -> 1 -> 6 -> 5 -> 7 -> 2 -> 3 -> 0,1.0,,,,,,,,-5.142667707645485,1.4471580313422192,0.0
8,Random initialized,"[0, 2, 4, 5, 3, 7, 1, 6, 0]",458.71914941831704,2.1800002286909148e-05,1.0,sampled tour,205.44164874082523,81.1132643804876,0 -> 2 -> 4 -> 5 -> 3 -> 7 -> 1 -> 6 -> 0,1.0,,,,,,,,-4.66154346083613,0.0,0.0
8,2-opt from greedy,"[0, 4, 1, 6, 5, 7, 2, 3, 0]",253.27750067749184,4.199999966658652e-05,21.0,2-opt moves/pass,2.842170943040401e-14,1.1221568972521758e-14,0 -> 4 -> 1 -> 6 -> 5 -> 7 -> 2 -> 3 -> 0,1.0,,,,,,,,-4.37675071304971,1.3222192947339193,0.0
8,Held-Karp,"[0, 3, 2, 7, 5, 6, 1, 4, 0]",253.27750067749182,0.000674400002026232,896.0,DP states,0.0,0.0,0 -> 3 -> 2 -> 7 -> 5 -> 6 -> 1 -> 4 -> 0,1.0,,,,,,,,-3.171082437078478,2.9523080096621253,0.0
8,QAOA with greedy,"[0, 4, 1, 6, 5, 7, 2, 3, 0]",253.27750067749184,0.23542000000088592,512.0,compressed basis states,2.842170943040401e-14,1.1221568972521758e-14,0 -> 4 -> 1 -> 6 -> 5 -> 7 -> 2 -> 3 -> 0,1.0,512.0,446.0,9.0,66.0,49.0,562949953421312.0,263.0082200758577,-0.628156644631669,2.709269960975831,0.0
